book,qIndex,content_after,options_after,correct_BEFORE,correct_AFTER,ca_before_raw,ca_after_raw,explanation_after,fix_reason,issue,verdict_KEEP_or_REVERT
1chronicles_quiz.json,10,"Theo 1 Sử Ký 17:11-14, Đức Chúa Trời hứa gì cho Đa-vít về dòng dõi và ngôi nước?",[0] Đa-vít sẽ tự xây đền | [1] Dòng dõi Đa-vít chỉ cai trị một thế hệ | [2] Dòng dõi Đa-vít sẽ xây đền và ngôi nước được vững bền đời đời | [3] Đa-vít sẽ chia nước thành mười hai phần,[2] Dòng dõi Đa-vít sẽ xây đền và ngôi nước được vững bền đời đời,[3] Đa-vít sẽ chia nước thành mười hai phần,[2],[3],"1 Sử Ký 17:11-14 — Đức Chúa Trời hứa sẽ lập một dòng dõi từ Đa-vít. Một người trong dòng dõi đó (Sa-lô-môn) sẽ xây đền thờ cho Chúa, và ngôi nước của dòng dõi Đa-vít sẽ được vững bền đời đời. Đặc biệt, Chúa hứa: 'Ta sẽ lập người đời đời tại trong nhà ta và tại trong nước ta; còn ngôi nước người sẽ đ","Điều chỉnh giải thích để bao hàm đầy đủ hơn lời hứa về ngôi nước vững bền đời đời theo 1 Sử Ký 17:14, đồng thời sửa lỗi đánh số đáp án đúng (từ 2 thành 3) cho khớp với mảng options.","Câu hỏi trích dẫn 1 Sử Ký 17:11-14, nhưng đáp án đúng (option 2) và giải thích chỉ nói về việc dòng dõi Đa-vít xây đền. Trong Kinh Thánh, lời hứa là chính Đức Chúa Trời sẽ xây nhà (dòng dõi) cho Đa-vít, và Sa-lô-môn (con Đa-vít) sẽ xây đền. Option 2 diễn đạt 'Dòng dõi Đa-vít sẽ xây đền' là đúng với ",
2chronicles_quiz.json,21,"Theo 2 Sử Ký 7:14, dân Chúa phải làm những điều gì để được Chúa nghe và chữa lành xứ? (chọn tất cả đúng)","[0] Hạ mình xuống | [1] Cầu nguyện | [2] Tìm kiếm mặt Đức Giê-hô-va | [3] Trở lại, bỏ con đường tà","[0] Hạ mình xuống và cầu nguyện | [1] Tìm kiếm mặt Đức Giê-hô-va | [2] Trở lại, bỏ con đường tà","[0] Hạ mình xuống | [1] Cầu nguyện | [2] Tìm kiếm mặt Đức Giê-hô-va | [3] Trở lại, bỏ con đường tà","[0, 1, 2]","[0, 1, 2, 3]","2 Sử Ký 7:14 — '...nếu dân sự ta, là dân gọi bằng danh ta, hạ mình xuống, cầu nguyện, tìm kiếm mặt ta, và trở lại, bỏ con đường tà, thì ta ở trên trời sẽ nghe, tha thứ tội chúng nó, và cứu xứ họ khỏi tai vạ.' Câu này nêu bốn điều kiện riêng biệt: hạ mình, cầu nguyện, tìm kiếm mặt Chúa, và trở lại/bỏ","Sửa cấu trúc lựa chọn để phản ánh rõ ràng 4 điều kiện riêng biệt trong Kinh Thánh, đảm bảo tính chính xác và tránh hiểu nhầm.","Lỗi nội dung Kinh Thánh: Câu 2 Sử Ký 7:14 liệt kê 4 điều kiện, nhưng trong options chỉ có 3 mục tương ứng (0,1,2). Tuy nhiên, option 0 gộp 'Hạ mình xuống và cầu nguyện' thành một, trong khi Kinh Thánh liệt kê là 'hạ mình xuống, cầu nguyện, tìm kiếm mặt ta, và trở lại, bỏ con đường tà' (4 hành động).",
2john_quiz.json,16,"Theo 2 Giăng 1:3, 'ân điển, sự thương xót, bình an' đến từ đâu?","[0] Đức Chúa Trời là Cha và Đức Chúa Jêsus Christ, Con của Cha | [1] Chỉ từ Đức Chúa Trời là Cha | [2] Các thiên sứ thánh | [3] Hội Thánh phổ quát","[0] Đức Chúa Trời là Cha | [1] Đức Chúa Jêsus Christ, Con của Cha","[0] Đức Chúa Trời là Cha và Đức Chúa Jêsus Christ, Con của Cha","[0, 1]",[0],"2 Giăng 1:3 — 'Nguyền xin ân điển, sự thương xót, sự bình an, bởi Đức Chúa Trời là Cha, và bởi Đức Chúa Jêsus Christ là Con của Cha, được ở cùng chúng ta, trong lẽ thật và sự yêu thương!' Câu Kinh Thánh xác định nguồn duy nhất là từ Đức Chúa Trời, được bày tỏ qua Cha và Con, không phải từ hai nguồn ","Sửa câu hỏi để tránh nguy cơ hiểu sai thần học bằng cách gộp hai nguồn thành một lựa chọn duy nhất, phản ánh chính xác hơn nội dung câu Kinh Thánh.","Câu hỏi loại 'multiple_choice_multi' có 'correctAnswer': [0, 1]. Tuy nhiên, đọc 2 Giăng 1:3: 'Nguyền xin ân điển, sự thương xót, sự bình an, bởi Đức Chúa Trời là Cha, và bởi Đức Chúa Jêsus Christ là Con của Cha...'. Ân điển, thương xót, bình an đến từ CẢ Cha VÀ Con. Các lựa chọn 0 và 1 là hai nguồn ",
2peter_quiz.json,21,"Theo 2 Phi-e-rơ 1:5-7, những phẩm chất nào được liệt kê thêm vào đức tin? (chọn tất cả đúng)",[0] Nhân đức | [1] Học thức | [2] Tiết độ | [3] Nhịn nhục | [4] Tin kính | [5] Tình yêu thương anh em | [6] Lòng yêu mến | [7] Sự báo thù kẻ thù,"[0] Nhân đức | [1] Học thức và tiết độ | [2] Nhịn nhục, tin kính, tình yêu thương anh em, lòng yêu mến",[0] Nhân đức | [1] Học thức | [2] Tiết độ | [3] Nhịn nhục | [4] Tin kính | [5] Tình yêu thương anh em | [6] Lòng yêu mến,"[0, 1, 2]","[0, 1, 2, 3, 4, 5, 6]",2 Phi-e-rơ 1:5-7 — '...đức tin... nhân đức... học thức... tiết độ... nhịn nhục... tin kính... tình yêu thương anh em... lòng yêu mến.' Bảy phẩm chất; 'sự báo thù kẻ thù' không nằm trong danh sách.,"Cấu trúc lựa chọn không đồng đều, gộp nhiều phẩm chất vào một đáp án gây nhầm lẫn cho câu hỏi chọn nhiều đáp án đúng.","Câu hỏi loại 'multiple_choice_multi' yêu cầu chọn tất cả đúng, nhưng 'correctAnswer' chỉ liệt kê [0,1,2], trong khi option [2] là một chuỗi dài gộp 4 phẩm chất (Nhịn nhục, tin kính, tình yêu thương anh em, lòng yêu mến). Điều này gây nhầm lẫn vì người dùng có thể nghĩ chỉ chọn 3 mục, trong khi thực ",
2timothy_quiz.json,23,"Theo 2 Ti-mô-thê 3:16-17, Kinh Thánh có ích cho những việc gì? (chọn tất cả đúng)",[0] Dạy dỗ | [1] Bẻ trách | [2] Sửa trị | [3] Dạy người trong sự công bình | [4] Giải trí và tiêu khiển,[0] Dạy dỗ | [1] Bẻ trách và sửa trị | [2] Dạy người trong sự công bình,[0] Dạy dỗ | [1] Bẻ trách | [2] Sửa trị | [3] Dạy người trong sự công bình,"[0, 1, 2]","[0, 1, 2, 3]","2 Ti-mô-thê 3:16-17 — '...có ích cho sự dạy dỗ, bẻ trách, sửa trị, dạy người trong sự công bình, hầu cho người thuộc về Đức Chúa Trời được trọn vẹn và sắm sẵn để làm mọi việc lành.' Bốn ích lợi được liệt kê riêng biệt; 'giải trí và tiêu khiển' không phải mục đích Kinh Thánh.","Đáp án gốc gộp 'bẻ trách và sửa trị' làm một, không khớp với liệt kê riêng biệt của 4 mục đích trong Kinh Thánh (2 Ti-mô-thê 3:16). Cần tách ra để chính xác về mặt văn bản và tránh gây nhầm lẫn.","Câu hỏi yêu cầu chọn những việc Kinh Thánh có ích cho, theo 2 Ti-mô-thê 3:16-17. Đáp án đúng là [0,1,2]. Tuy nhiên, đáp án 1 ('Bẻ trách và sửa trị') là gộp hai việc làm một. Trong Kinh Thánh (2 Ti-mô-thê 3:16), bốn việc được liệt kê riêng biệt: 'có ích cho sự dạy dỗ, bẻ trách, sửa trị, dạy người tro",
3john_quiz.json,18,"Theo 3 Giăng 1:2, trưởng lão cầu nguyện những điều nào cho Gai-út? (chọn tất cả đúng)",[0] Được thạnh vượng trong mọi sự | [1] Được khỏe mạnh phần xác | [2] Linh hồn được thạnh vượng (lời cầu nguyện cho tương lai) | [3] Có tài sản lớn và dư dật,[1] Thạnh vượng trong mọi sự | [2] Khỏe mạnh phần xác | [3] Linh hồn thạnh vượng,[1] Được khỏe mạnh phần xác | [2] Linh hồn được thạnh vượng (lời cầu nguyện cho tương lai),"[1, 2, 3]","[1, 2]","3 Giăng 1:2 — '...tôi cầu nguyện cho anh được thạnh vượng trong mọi sự, và được khỏe mạnh phần xác anh cũng như đã được thạnh vượng về phần linh hồn anh vậy.' Trưởng lão cầu nguyện cho Gai-út hai điều: được thạnh vượng trong mọi sự và được khỏe mạnh phần xác. Ông đồng thời công nhận linh hồn của Gai","Explanation gây hiểu lầm về nội dung Kinh Thánh. Câu 3 Giăng 1:2 chỉ cầu chúc hai điều cho tương lai và công nhận một điều đã xảy ra, không phải ba lời cầu chúc.","Câu hỏi yêu cầu chọn tất cả đáp án đúng theo 3 Giăng 1:2. Đáp án đúng là [1, 2, 3]. Tuy nhiên, giải thích nói 'Ba điều: thạnh vượng mọi sự, khỏe mạnh, linh hồn thạnh vượng.' Cách liệt kê này có thể gây hiểu lầm rằng 'thạnh vượng mọi sự' và 'linh hồn thạnh vượng' là hai điều riêng biệt. Thực tế, câu ",
amos_quiz.json,21,"Theo A-mốt 1:3-13, các sấm ngôn nghịch dân ngoại nhắm vào những thành/dân nào? (chọn tất cả đúng)",[0] Đa-mách (Sy-ri) | [1] Ga-xa (Phi-li-tin) | [2] Ty-rơ | [3] Ê-đôm | [4] Người Cúc-sít từ Ai Cập,[0] Đa-mách (Sy-ri) | [1] Ga-xa (Phi-li-tin) | [2] Ty-rơ và Ê-đôm,[0] Đa-mách (Sy-ri) | [1] Ga-xa (Phi-li-tin) | [2] Ty-rơ | [3] Ê-đôm,"[0, 1, 2]","[0, 1, 2, 3]","A-mốt 1:3-13 — Các sấm ngôn nghịch Đa-mách (Sy-ri) (c.3-5), Ga-xa (Phi-li-tin) (c.6-8), Ty-rơ (c.9-10), Ê-đôm (c.11-12), và bắt đầu sấm ngôn nghịch Am-môn (c.13). Người Cúc-sít không thuộc danh sách bảy dân ngoại bị xét đoán trong A-mốt 1-2.","Đáp án gộp 'Ty-rơ và Ê-đôm' không chính xác với cấu trúc riêng biệt của các sấm ngôn trong A-mốt 1:3-13, cần tách thành hai lựa chọn.","Câu hỏi yêu cầu chọn các thành/dân bị nhắm trong A-mốt 1:3-13. Trong phạm vi 1:3-13, các sấm ngôn nhắm vào: Đa-mách (c.3-5), Ga-xa (c.6-8), Ty-rơ (c.9-10), Ê-đôm (c.11-12), Am-môn (c.13-15). Tuy nhiên, đáp án (2) gộp 'Ty-rơ và Ê-đôm' thành một lựa chọn, trong khi đây là hai đối tượng riêng biệt. Điề",
bible_basics_quiz.json,1,"Theo Thi Thiên 139:7-12, đặc tính nào của Đức Chúa Trời được mô tả rõ nhất?",[0] Sự toàn năng (làm được mọi sự) | [1] Sự toàn tại (có mặt khắp nơi) và toàn tri (biết mọi sự) | [2] Sự yêu thương và thánh khiết | [3] Chỉ là một khái niệm tinh thần,"[2] Toàn năng, toàn tri, toàn tại, yêu thương và thánh khiết",[1] Sự toàn tại (có mặt khắp nơi) và toàn tri (biết mọi sự),[2],[1],"Thi Thiên 139:7-12 mô tả rõ ràng rằng con người không thể trốn khỏi Thần của Đức Chúa Trời, dù lên trời, xuống âm phủ, hay ở nơi xa xăm tối tăm, vì Ngài hiện diện ở khắp nơi (toàn tại) và sự tối tăm cũng chẳng giấu được gì với Ngài (toàn tri).",Câu hỏi gốc quá rộng và không khớp chính xác với nội dung trích dẫn Thi Thiên 139:7-12. Cần sửa để câu hỏi tập trung vào đặc tính được mô tả trực tiếp trong phân đoạn Kinh Thánh được chỉ định.,"Câu hỏi 'Đức Chúa Trời có những đặc tính nào?' quá rộng và không được trả lời đầy đủ bởi các lựa chọn. Trích dẫn Thi Thiên 139:7-12 chủ yếu nói về sự toàn tại (có mặt khắp nơi) và toàn tri, nhưng không trực tiếp đề cập 'toàn năng', 'yêu thương', 'thánh khiết'.",
colossians_quiz.json,24,"Theo Cô-lô-se 3:18-22, các bổn phận trong gia đình và xã hội Cơ Đốc là gì? (chọn tất cả đúng)","[0] Vợ vâng phục chồng | [1] Chồng yêu vợ, chớ ở cay nghiệt | [2] Con cái vâng phục cha mẹ | [3] Tôi tớ vâng phục chủ theo phần xác","[0] Vợ vâng phục chồng | [1] Chồng yêu vợ, chớ ở cay nghiệt | [2] Con cái vâng phục cha mẹ","[0] Vợ vâng phục chồng | [1] Chồng yêu vợ, chớ ở cay nghiệt | [2] Con cái vâng phục cha mẹ | [3] Tôi tớ vâng phục chủ theo phần xác","[0, 1, 2]","[0, 1, 2, 3]","Cô-lô-se 3:18-22 — 'Hỡi người làm vợ, hãy vâng phục chồng mình... Hỡi kẻ làm chồng, hãy yêu vợ mình, chớ hề ở cay nghiệt với người. Hỡi kẻ làm con, mọi sự hãy vâng phục cha mẹ... Hỡi kẻ làm tôi tớ, hãy hết lòng vâng phục kẻ làm chủ...' Bốn bổn phận được nêu trong đoạn.","Option 3 sai Kinh Thánh và không thuộc đoạn 3:18-22, cần thay bằng bổn phận đúng là 'Tôi tớ vâng phục chủ' từ câu 22.","Câu hỏi yêu cầu chọn 'tất cả đúng' dựa trên Cô-lô-se 3:18-22. Option 3 ('Cha mẹ phục vụ con cái như chủ') là sai và trái ngược với tinh thần Kinh Thánh. Việc đưa nó vào danh sách lựa chọn có thể gây hiểu nhầm, mặc dù nó không nằm trong `correctAnswer`.",
deuteronomy_quiz.json,53,"Theo Phục Truyền 11:13-14, NẾU Y-sơ-ra-ên YÊU ĐỨC CHÚA TRỜI hết lòng + hết linh hồn — Chúa hứa BAN gì?","[0] Mưa mùa thu (đầu mùa) và mưa mùa xuân (cuối mùa) đúng kỳ — ngươi sẽ thu hoạch ngũ cốc, rượu mới và dầu | [1] Sự bình an và thịnh vượng lâu dài trong xứ | [2] Chiến thắng mọi kẻ thù chung quanh | [3] Vàng bạc và của cải dư dật",[3] Mưa MÙA hạ + MƯA mùa cuối cho đất ngươi đúng kỳ — ngươi THÂU LÚA mì + RƯỢU mới + DẦU,"[0] Mưa mùa thu (đầu mùa) và mưa mùa xuân (cuối mùa) đúng kỳ — ngươi sẽ thu hoạch ngũ cốc, rượu mới và dầu",[3],[0],"Phục Truyền 11:13-14 — 'Vậy, nếu các ngươi chăm chỉ nghe các điều răn ta truyền cho các ngươi ngày nay, hết lòng, hết ý kính mến Giê-hô-va Đức Chúa Trời ngươi, và phục sự Ngài, thì ta sẽ cho mưa mùa thu và mưa mùa xuân xuống thuận thì tại trong xứ các ngươi; ngươi sẽ thâu góp ngũ cốc, rượu, và dầu c",Option đúng chứa thông tin sai lệch nghiêm trọng so với Kinh Thánh ('mưa mùa hạ') và thứ tự các option dễ đoán đáp án.,"Nội dung option 3 sai so với Kinh Thánh. Phục Truyền 11:14 nói về 'mưa mùa thu và mưa mùa xuân' (autumn rain and spring rain), không phải 'mưa mùa hạ' (summer rain). 'Mưa mùa hạ' là sai lệch nghiêm trọng về nội dung.",
